"filename", "language", "XML", "comment", "blank", "total"
"f:\Urchin Framework\resource\ui\combine_buttons_tool_dialog.ui", "XML", 182, 0, 1, 183
"f:\Urchin Framework\resource\ui\combine_buttons_tunnel_dialog.ui", "XML", 201, 0, 1, 202
"f:\Urchin Framework\resource\ui\combine_func_detatil_dialog.ui", "XML", 120, 0, 1, 121
"f:\Urchin Framework\resource\ui\combine_func_introduction_dialog.ui", "XML", 132, 0, 1, 133
"f:\Urchin Framework\resource\ui\combine_openvariable_dialog.ui", "XML", 105, 0, 1, 106
"f:\Urchin Framework\resource\ui\combine_tool_add_result_dialog.ui", "XML", 121, 0, 1, 122
"f:\Urchin Framework\resource\ui\combine_window.ui", "XML", 232, 0, 1, 233
"f:\Urchin Framework\resource\ui\community_window.ui", "XML", 217, 0, 1, 218
"f:\Urchin Framework\resource\ui\main_window.ui", "XML", 551, 0, 1, 552
"f:\Urchin Framework\resource\ui\mine_func_detatil_dialog.ui", "XML", 150, 0, 1, 151
"f:\Urchin Framework\resource\ui\mine_window.ui", "XML", 202, 0, 1, 203
"f:\Urchin Framework\resource\ui\tools_buttons_addcommand_dialog.ui", "XML", 320, 0, 1, 321
"f:\Urchin Framework\resource\ui\tools_buttons_addtool_dialog.ui", "XML", 440, 0, 1, 441
"f:\Urchin Framework\resource\ui\tools_buttons_addtunnel_dialog.ui", "XML", 392, 0, 1, 393
"f:\Urchin Framework\resource\ui\tools_buttons_command_dialog.ui", "XML", 345, 0, 1, 346
"f:\Urchin Framework\resource\ui\tools_buttons_component_dialog.ui", "XML", 424, 0, 1, 425
"f:\Urchin Framework\resource\ui\tools_buttons_tool_dialog.ui", "XML", 456, 0, 1, 457
"f:\Urchin Framework\resource\ui\tools_buttons_tunnel_dialog.ui", "XML", 396, 0, 1, 397
"f:\Urchin Framework\resource\ui\tools_tool_add_command_built_in_dialog.ui", "XML", 121, 0, 1, 122
"f:\Urchin Framework\resource\ui\tools_tool_add_command_template_dialog.ui", "XML", 220, 0, 1, 221
"f:\Urchin Framework\resource\ui\tools_tool_add_result_dialog.ui", "XML", 121, 0, 1, 122
"f:\Urchin Framework\resource\ui\tools_tunnel_edit_customscript_dialog.ui", "XML", 101, 0, 1, 102
"f:\Urchin Framework\resource\ui\tools_tunnel_edit_script_dialog.ui", "XML", 153, 0, 1, 154
"f:\Urchin Framework\resource\ui\tools_window.ui", "XML", 461, 0, 1, 462
"f:\Urchin Framework\resource\ui\works_addbutton_dialog.ui", "XML", 111, 0, 1, 112
"f:\Urchin Framework\resource\ui\works_buttons_dialog.ui", "XML", 113, 0, 1, 114
"f:\Urchin Framework\resource\ui\works_task_input_dialog.ui", "XML", 142, 0, 1, 143
"f:\Urchin Framework\resource\ui\works_task_set_timer_dialog.ui", "XML", 168, 0, 1, 169
"f:\Urchin Framework\resource\ui\works_tasks_dialog.ui", "XML", 114, 0, 1, 115
"f:\Urchin Framework\resource\ui\works_window.ui", "XML", 321, 0, 1, 322
"Total", "-", 7132, 0, 30, 7162
