"filename", "language", "Python", "comment", "blank", "total"
"f:\Urchin Framework\window\dialog\combine_buttons_tool.py", "Python", 135, 49, 21, 205
"f:\Urchin Framework\window\dialog\combine_buttons_tunnel.py", "Python", 183, 27, 19, 229
"f:\Urchin Framework\window\dialog\combine_func_detatil.py", "Python", 76, 1, 13, 90
"f:\Urchin Framework\window\dialog\combine_func_introduction.py", "Python", 34, 0, 11, 45
"f:\Urchin Framework\window\dialog\combine_openvariable.py", "Python", 144, 15, 24, 183
"f:\Urchin Framework\window\dialog\combine_tool_add_result.py", "Python", 23, 0, 9, 32
"f:\Urchin Framework\window\dialog\mine_func_detatil.py", "Python", 70, 1, 12, 83
"f:\Urchin Framework\window\dialog\tools_buttons_addcommand.py", "Python", 114, 17, 15, 146
"f:\Urchin Framework\window\dialog\tools_buttons_addtool.py", "Python", 278, 37, 33, 348
"f:\Urchin Framework\window\dialog\tools_buttons_addtunnel.py", "Python", 117, 16, 17, 150
"f:\Urchin Framework\window\dialog\tools_buttons_command.py", "Python", 220, 39, 20, 279
"f:\Urchin Framework\window\dialog\tools_buttons_tool.py", "Python", 446, 71, 39, 556
"f:\Urchin Framework\window\dialog\tools_buttons_tunnel.py", "Python", 217, 28, 20, 265
"f:\Urchin Framework\window\dialog\tools_tool_add_command_built_in.py", "Python", 31, 0, 9, 40
"f:\Urchin Framework\window\dialog\tools_tool_add_command_template.py", "Python", 31, 2, 9, 42
"f:\Urchin Framework\window\dialog\tools_tool_add_result.py", "Python", 23, 0, 9, 32
"f:\Urchin Framework\window\dialog\tools_tunnel_edit_customscript.py", "Python", 48, 1, 9, 58
"f:\Urchin Framework\window\dialog\tools_tunnel_edit_script.py", "Python", 87, 2, 11, 100
"f:\Urchin Framework\window\dialog\works_addbutton.py", "Python", 12, 1, 6, 19
"f:\Urchin Framework\window\dialog\works_buttons.py", "Python", 12, 1, 6, 19
"f:\Urchin Framework\window\dialog\works_task_input.py", "Python", 90, 5, 14, 109
"f:\Urchin Framework\window\dialog\works_task_set_timer.py", "Python", 16, 10, 9, 35
"Total", "-", 2407, 323, 335, 3065
